similarity_bin,definition,method,samples,correct,target_state_accuracy,wilson_95_low,wilson_95_high
low,low<0.50; medium=0.50-<0.80; high>=0.80,D-FS-M,253,216,0.8537549407114624,0.8049274656502708,0.8920005179466578
low,low<0.50; medium=0.50-<0.80; high>=0.80,J-FS-M,253,215,0.849802371541502,0.8005660048764779,0.8885750738757926
low,low<0.50; medium=0.50-<0.80; high>=0.80,MP-FS+,253,128,0.5059288537549407,0.4446959523392003,0.5669844049277872
medium,low<0.50; medium=0.50-<0.80; high>=0.80,D-FS-M,47,42,0.8936170212765957,0.7740573065626163,0.9536952178189183
medium,low<0.50; medium=0.50-<0.80; high>=0.80,J-FS-M,47,43,0.9148936170212766,0.8006846221303541,0.9664058765420744
medium,low<0.50; medium=0.50-<0.80; high>=0.80,MP-FS+,47,20,0.425531914893617,0.2951362834367996,0.5671808065450721
high,low<0.50; medium=0.50-<0.80; high>=0.80,D-FS-M,0,0,,,
high,low<0.50; medium=0.50-<0.80; high>=0.80,J-FS-M,0,0,,,
high,low<0.50; medium=0.50-<0.80; high>=0.80,MP-FS+,0,0,,,
