variant,samples,materialized_plan_coverage,program_build_rate,coverage,target_state_accuracy,accepted_output_accuracy,false_accept_count,false_accept_rate,invalid_program_rate,constraint_or_execution_failure_count,off_target_modification_count,abstention_rate
V0_no_verifier_no_provenance_no_preflight,300,0.7233333333333334,0.7233333333333334,0.7233333333333334,0.5666666666666667,0.783410138248848,47,0.21658986175115208,0.2766666666666666,29,0,0.2766666666666666
V1_hard_verifier_only,300,0.7233333333333334,0.6533333333333333,0.6533333333333333,0.5666666666666667,0.8673469387755102,26,0.1326530612244898,0.3466666666666667,8,0,0.3466666666666667
V2_hard_verifier_plus_provenance,300,0.7233333333333334,0.57,0.57,0.49333333333333335,0.8654970760233918,23,0.13450292397660818,0.43000000000000005,6,0,0.43000000000000005
V3_full_with_transactional_preflight,300,0.7233333333333334,0.57,0.5466666666666666,0.49333333333333335,0.9024390243902439,16,0.0975609756097561,0.43000000000000005,0,0,0.45333333333333337
