method,samples,input_tokens_mean,input_tokens_median,input_tokens_q1,input_tokens_q3,input_tokens_p90,input_tokens_p95,output_tokens_mean,output_tokens_median,output_tokens_q1,output_tokens_q3,output_tokens_p90,output_tokens_p95,latency_sec_mean,latency_sec_median,latency_sec_q1,latency_sec_q3,latency_sec_p90,latency_sec_p95,preflight_latency_sec_mean,preflight_latency_sec_median,preflight_latency_sec_q1,preflight_latency_sec_q3,preflight_latency_sec_p90,preflight_latency_sec_p95,output_limit_hit_rate
D-FS-M,300,8630.266666666666,8372.0,8054.5,9283.75,9836.4,9991.05,334.92,262.5,124.75,465.0,758.1,862.3000000000001,4.952294436893183,4.209538839000743,2.4611509822461812,6.555550546505401,9.750341275797114,11.03617421049421,,,,,,,0.0
J-FS-M,300,8632.226666666667,8374.5,8057.5,9284.25,9839.4,9993.05,429.1333333333333,320.5,145.75,600.25,948.9000000000002,1101.6000000000001,6.018846711753479,4.701546716998564,2.7802560355048627,8.033403004996217,12.321334442599621,13.829576725548396,,,,,,,0.0
S-FS-v2-M,300,8632.226666666667,8374.5,8057.5,9284.25,9839.4,9993.05,429.1333333333333,320.5,145.75,600.25,948.9000000000002,1101.6000000000001,6.044044495409519,4.7151107434983714,2.797526687496429,8.067436839242873,12.363380265596792,13.895842056705442,,,,,,,0.0
MP-FS-M,300,9608.633333333333,9327.0,8898.5,10143.5,11113.800000000001,11414.8,462.91333333333336,205.0,175.0,406.5,1163.1,1789.6000000000004,6.623313808703242,3.767272283002967,3.2731737825015443,5.933769097253389,14.308358926500667,21.611241872856777,,,,,,,0.0
MP-FS+,300,5511.463333333333,3222.5,2678.25,8958.75,11433.7,13950.850000000002,409.57666666666665,201.0,165.75,254.25,527.4000000000001,1227.5000000000025,5.581185331226443,2.7312772474979283,2.3118628657539375,3.4619180437512114,7.578493771191293,16.109700865350927,0.0002798603501287289,0.00033971749508054927,0.0,0.0005180804982956033,0.0005559240977163427,0.0005695485961041413,0.006666666666666667
