db_id,samples,target_state_accuracy,coverage,accepted_output_accuracy
archeology,60,0.9166666666666666,0.9166666666666666,1.0
polar,60,0.9666666666666667,0.9833333333333333,0.9830508474576272
robot,60,0.9833333333333333,1.0,0.9833333333333333
vaccine,60,0.9166666666666666,0.95,0.9649122807017544
virtual,60,0.9166666666666666,0.9666666666666667,0.9482758620689655
