db_id,count,rate_among_d_g1_failures
financial,44,0.21890547263681592
student_club,29,0.14427860696517414
debit_card_specializing,26,0.12935323383084577
superhero,22,0.10945273631840796
formula_1,20,0.09950248756218906
california_schools,14,0.06965174129353234
european_football_2,13,0.06467661691542288
toxicology,11,0.05472636815920398
codebase_community,10,0.04975124378109453
card_games,9,0.04477611940298507
thrombosis_prediction,3,0.014925373134328358
