sample_id,first_failure_stage,failure_reason_code,oracle_variant,downstream_bypass_correct,interpretation
final_archeology_001,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_archeology_002,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_archeology_005,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_archeology_010,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_archeology_011,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_archeology_012,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,system-level bypass; not a single-component verifier intervention
final_archeology_016,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_archeology_017,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_archeology_021,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_archeology_025,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_archeology_026,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_archeology_027,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_archeology_029,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_archeology_031,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_archeology_033,verification,CONFLICT_WRONG_UPDATE_COLUMNS,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_archeology_035,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_archeology_036,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_archeology_040,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_archeology_041,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_archeology_042,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,system-level bypass; not a single-component verifier intervention
final_archeology_047,materialization,VALUE_WRONG_EVIDENCE_SPAN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_archeology_048,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_archeology_049,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_archeology_050,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_archeology_055,reference_resolution,REF_INVALID_SOURCE_REF,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_archeology_056,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,system-level bypass; not a single-component verifier intervention
final_archeology_057,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,system-level bypass; not a single-component verifier intervention
final_polar_001,materialization,VALUE_NORMALIZATION_ERROR,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_polar_002,materialization,VALUE_NORMALIZATION_ERROR,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_polar_003,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_polar_016,materialization,VALUE_NORMALIZATION_ERROR,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_polar_017,verification,CONFLICT_WRONG_UPDATE_COLUMNS,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_polar_025,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,system-level bypass; not a single-component verifier intervention
final_polar_026,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,system-level bypass; not a single-component verifier intervention
final_polar_027,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_polar_031,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_polar_033,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_polar_040,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,system-level bypass; not a single-component verifier intervention
final_polar_041,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_polar_042,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,system-level bypass; not a single-component verifier intervention
final_polar_047,materialization,VALUE_NORMALIZATION_ERROR,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_polar_055,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_polar_056,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,system-level bypass; not a single-component verifier intervention
final_polar_057,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,system-level bypass; not a single-component verifier intervention
final_robot_002,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_robot_003,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
