sample_id,first_failure_stage,failure_reason_code,oracle_variant,oracle_if_bypassed_correct,system_bypass_recoverable,causal_interpretation,abstention_reason
final_vaccine_042,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_vaccine_046,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_vaccine_048,materialization,VALUE_NORMALIZATION_ERROR,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_vaccine_050,preflight,PREFLIGHT_UNIQUE,V2_5_plus_semantic_risk_gate,0,0,STAGE_PAIRED_ABLATION,preflight_reject
final_vaccine_051,preflight,PREFLIGHT_UNIQUE,V2_5_plus_semantic_risk_gate,0,0,STAGE_PAIRED_ABLATION,preflight_reject
final_vaccine_056,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_vaccine_057,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_virtual_002,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_virtual_003,materialization,VALUE_WRONG_EVIDENCE_SPAN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_virtual_004,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_virtual_005,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_virtual_011,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,1,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_virtual_012,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,1,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_virtual_015,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_virtual_016,preflight,PREFLIGHT_FK,V2_5_plus_semantic_risk_gate,0,0,STAGE_PAIRED_ABLATION,preflight_reject
final_virtual_019,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_virtual_021,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_virtual_026,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_virtual_027,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_virtual_035,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_virtual_036,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_virtual_041,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_virtual_042,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_virtual_048,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_virtual_049,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_virtual_050,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_virtual_055,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_virtual_056,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_virtual_057,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
