sample_id,source_group,legacy_payload_hash,D_payload_hash,changed
aug_seed_000312_single_row_subset_001,seed_000312,b8c122704314ca5e15544015a4f09b481b2146890b97b4ce0caa6a425130fd99,b8c122704314ca5e15544015a4f09b481b2146890b97b4ce0caa6a425130fd99,0
seed_000048,seed_000048,307a72c2644e2311d884e8878b9c51f3765060b6fc2094c3b2ba79c220d7c5ba,307a72c2644e2311d884e8878b9c51f3765060b6fc2094c3b2ba79c220d7c5ba,0
seed_000289,seed_000289,2e98434cd9b1621abfb54a8feb7072b0eb28cc15f058e3b7ed399244bf56fe6d,2e98434cd9b1621abfb54a8feb7072b0eb28cc15f058e3b7ed399244bf56fe6d,0
aug_seed_000159_single_row_subset_001,seed_000159,f16d7cf6916f953c2dec7236de1afb02a9a3e0bc45284068c6052d560659234b,f16d7cf6916f953c2dec7236de1afb02a9a3e0bc45284068c6052d560659234b,0
seed_000107,seed_000107,7589521b9c09194fb6537b5c54e6a53f757dbaacaceade91790357a81716dc9f,7589521b9c09194fb6537b5c54e6a53f757dbaacaceade91790357a81716dc9f,0
aug_seed_000282_small_batch_subset_001,seed_000282,9e0fe9fa2cea47663a636640ca537bd891de217beaea11c4994e1f66d04eb9a8,9e0fe9fa2cea47663a636640ca537bd891de217beaea11c4994e1f66d04eb9a8,0
aug_seed_000194_small_batch_subset_001,seed_000194,3ba6c6a22769d887160dd63e80b2d04f2bfaee87096175752c94443dd8f522f8,3ba6c6a22769d887160dd63e80b2d04f2bfaee87096175752c94443dd8f522f8,0
seed_000076,seed_000076,7aed213848e620a84065a26fd366e36289fd481c144287fe205020e5a5c904a4,7aed213848e620a84065a26fd366e36289fd481c144287fe205020e5a5c904a4,0
aug_seed_000002_relational_format_variant_003,seed_000002,50f45ef5655e569bf7807707c5fe01f6b8df2a69864f7353d139b1980056de2f,50f45ef5655e569bf7807707c5fe01f6b8df2a69864f7353d139b1980056de2f,0
aug_seed_000331_single_row_subset_001,seed_000331,24a41f5c4560a0496daff7536429c141119eb9b807a056c132efbc0429c2b424,24a41f5c4560a0496daff7536429c141119eb9b807a056c132efbc0429c2b424,0
