"artifact","identical","existing_sha256","clean_replay_sha256"
"paired_summary","True","c3bbd2fdf4f2fd97cd16884dd559b203570990a3cee313aa0a1d2e437118aa28","c3bbd2fdf4f2fd97cd16884dd559b203570990a3cee313aa0a1d2e437118aa28"
"sample_level","True","4f35aed339f2d8c09e51e1259b79762813262e08e93e9d026041e3ee2a6b8786","4f35aed339f2d8c09e51e1259b79762813262e08e93e9d026041e3ee2a6b8786"
"f_attempts","True","02b48cc159a50bd9accf185a1738a8a62da9f82cdfd1c20659ba706b405ee1d3","02b48cc159a50bd9accf185a1738a8a62da9f82cdfd1c20659ba706b405ee1d3"
"f_applied_repairs","True","f411a7fb325c0fe698647a3ed4c8014c466fa9a4b928fe230b50bf55831f77fa","f411a7fb325c0fe698647a3ed4c8014c466fa9a4b928fe230b50bf55831f77fa"
"f_materialized_repairs","True","1412fec551dd552a250374aa9c4d6db8708c1862edc5d84ebb6d7f5f0c7d63ee","1412fec551dd552a250374aa9c4d6db8708c1862edc5d84ebb6d7f5f0c7d63ee"
"f_sample_outcomes","True","fa6863bdfb72092a06b8a8be9f364ed42c887a78db7e6c9a883fd8d5d4097a84","fa6863bdfb72092a06b8a8be9f364ed42c887a78db7e6c9a883fd8d5d4097a84"
"materialized_write_plans","True","492d82e73ff3579939c687e79e4e7bcdabf53d4a5275b6096f36ecfbad77a8b5","492d82e73ff3579939c687e79e4e7bcdabf53d4a5275b6096f36ecfbad77a8b5"
"verification","True","1801acfdea874fec6347140657032352fccbc4daf8e021bcf88676df3e81d0a7","1801acfdea874fec6347140657032352fccbc4daf8e021bcf88676df3e81d0a7"
