variant,cumulative_through,samples,target_state_correct,target_state_accuracy,strict_full_state_correct,accepted_output,coverage,accepted_output_accuracy,false_accept,execution_success,off_target_state_change,parse_success,build_success
V0,Original,300,148,0.49333333333333335,148,164,0.5466666666666666,0.9024390243902439,16,164,0,294,171
V1,A,300,148,0.49333333333333335,148,164,0.5466666666666666,0.9024390243902439,16,164,0,294,171
V2,B,300,148,0.49333333333333335,148,165,0.55,0.896969696969697,17,165,0,294,173
V3,C,300,145,0.48333333333333334,145,162,0.54,0.8950617283950617,17,162,0,294,169
V4,D,300,178,0.5933333333333334,178,189,0.63,0.9417989417989417,11,189,0,294,195
V5,E,300,178,0.5933333333333334,178,190,0.6333333333333333,0.9368421052631579,12,190,0,294,197
V6,F,300,178,0.5933333333333334,178,190,0.6333333333333333,0.9368421052631579,12,190,0,294,197
V7,G1,300,179,0.5966666666666667,179,190,0.6333333333333333,0.9421052631578948,11,190,0,294,197
V8,G2,300,179,0.5966666666666667,179,190,0.6333333333333333,0.9421052631578948,11,190,0,294,197
