candidate,samples,target_state_correct,target_state_accuracy,strict_full_state_correct,accepted_output,coverage,accepted_output_accuracy,false_accept,execution_success,off_target_state_change
FULL,300,179,0.5966666666666667,179,190,0.6333333333333333,0.9421052631578948,11,190,0
NO_C,300,182,0.6066666666666667,182,195,0.65,0.9333333333333333,13,195,0
D_ONLY,300,182,0.6066666666666667,182,191,0.6366666666666667,0.9528795811518325,9,191,0
D_G1,300,183,0.61,183,191,0.6366666666666667,0.9581151832460733,8,191,0
