candidate,baseline,rescued,regressed,net_gain,unchanged_correct,unchanged_incorrect,rescued_ids,regressed_ids
FULL,V0,34,3,31,145,118,final_archeology_012|final_archeology_027|final_archeology_032|final_archeology_042|final_archeology_055|final_polar_014|final_polar_025|final_polar_026|final_polar_027|final_polar_040|final_polar_041|final_polar_055|final_polar_056|final_polar_057|final_polar_058|final_robot_010|final_robot_011|final_robot_012|final_robot_025|final_robot_026|final_robot_027|final_robot_040|final_robot_041|final_robot_055|final_robot_056|final_robot_057|final_vaccine_011|final_vaccine_025|final_vaccine_026|final_vaccine_040|final_virtual_010|final_virtual_012|final_virtual_025|final_virtual_040,final_archeology_018|final_polar_018|final_virtual_018
NO_C,V0,34,0,34,148,118,final_archeology_012|final_archeology_027|final_archeology_032|final_archeology_042|final_archeology_055|final_polar_014|final_polar_025|final_polar_026|final_polar_027|final_polar_040|final_polar_041|final_polar_055|final_polar_056|final_polar_057|final_polar_058|final_robot_010|final_robot_011|final_robot_012|final_robot_025|final_robot_026|final_robot_027|final_robot_040|final_robot_041|final_robot_055|final_robot_056|final_robot_057|final_vaccine_011|final_vaccine_025|final_vaccine_026|final_vaccine_040|final_virtual_010|final_virtual_012|final_virtual_025|final_virtual_040,
D_ONLY,V0,34,0,34,148,118,final_archeology_012|final_archeology_027|final_archeology_042|final_archeology_055|final_polar_014|final_polar_025|final_polar_026|final_polar_027|final_polar_040|final_polar_041|final_polar_042|final_polar_055|final_polar_056|final_polar_057|final_polar_058|final_robot_010|final_robot_011|final_robot_012|final_robot_025|final_robot_026|final_robot_027|final_robot_040|final_robot_041|final_robot_055|final_robot_056|final_robot_057|final_vaccine_011|final_vaccine_025|final_vaccine_026|final_vaccine_040|final_virtual_010|final_virtual_012|final_virtual_025|final_virtual_040,
D_G1,V0,35,0,35,148,117,final_archeology_012|final_archeology_027|final_archeology_032|final_archeology_042|final_archeology_055|final_polar_014|final_polar_025|final_polar_026|final_polar_027|final_polar_040|final_polar_041|final_polar_042|final_polar_055|final_polar_056|final_polar_057|final_polar_058|final_robot_010|final_robot_011|final_robot_012|final_robot_025|final_robot_026|final_robot_027|final_robot_040|final_robot_041|final_robot_055|final_robot_056|final_robot_057|final_vaccine_011|final_vaccine_025|final_vaccine_026|final_vaccine_040|final_virtual_010|final_virtual_012|final_virtual_025|final_virtual_040,
