method_slug,n,target_state_accuracy,strict_full_state_accuracy,coverage,accepted_output_accuracy,false_accept_count,false_accept_rate,execution_success_rate,constraint_failure_count,constraint_failure_rate,off_target_state_change_count,off_target_state_change_rate
direct,300,0.5233333333333333,0.5233333333333333,1.0,0.5233333333333333,143,0.4766666666666667,0.5433333333333333,89,0.2966666666666667,0,0.0
j_fs,300,0.5633333333333334,0.5633333333333334,0.8333333333333334,0.676,81,0.27,0.6133333333333333,65,0.21666666666666667,0,0.0
original_mp_fs_plus,300,0.33,0.33,0.37666666666666665,0.8761061946902655,14,0.04666666666666667,0.37666666666666665,51,0.17,0,0.0
d_g1_primary,300,0.33,0.33,0.37666666666666665,0.8761061946902655,14,0.04666666666666667,0.37666666666666665,51,0.17,0,0.0
d_only_secondary,300,0.33,0.33,0.37666666666666665,0.8761061946902655,14,0.04666666666666667,0.37666666666666665,51,0.17,0,0.0
full_secondary,300,0.3466666666666667,0.3466666666666667,0.3933333333333333,0.8813559322033898,14,0.04666666666666667,0.3933333333333333,51,0.17,0,0.0
no_c_secondary,300,0.3466666666666667,0.3466666666666667,0.3933333333333333,0.8813559322033898,14,0.04666666666666667,0.3933333333333333,51,0.17,0,0.0
