method_id,samples,target_state_accuracy,execution_success,coverage,accepted_output_accuracy,side_effect_rate,input_truncation_rate,output_limit_hit_rate,mean_input_tokens,mean_output_tokens,mean_latency_sec,generation_failure_count,generation_failure_rate,input_truncation_count,output_limit_hit_count,completion_status,completion_marker_sha256,metrics_sha256,evaluation_sha256,raw_generations_sha256
D-FS-M,300,0.5833333333333334,0.6166666666666667,1.0,0.5833333333333334,0.0,0.0,0.016666666666666666,10858.65,507.93,10.128312791533729,0,0.0,0,5,conservatively_adjudicated,7ba4879d4bf9f24f5f7713452043fb1ba9c63158039468e8c500a629f0f4d7ee,3f11688c845381acd32330e7e049686cf8cbc3d88861351da2e76ba716c10c7a,3da9ca67d1f53233113419fcc7b3076601acc85fc1e4339d630e8974d909ac9a,369cf77d071ab1e57228f43c40ef632a197e0a33a8e7a08ffbc89b197d0e4dfd
J-FS-M,300,0.19,0.20333333333333334,0.20666666666666667,0.9193548387096774,0.0,0.0,0.01,10889.65,763.6,14.233892811119926,0,0.0,0,3,conservatively_adjudicated,7b98d232f9dbcbc6ad11c8cc2b068227f546275cf4c348ea855f3053d6408675,f55e55fe68ada33ba24d9e997771c1cf956a46f4860c7b4ed5dd0f098b08ab2b,698765b4ac9032b11bb7f1ecda28a8c85fd1a594a64adae392dd07de7efd4a54,c515e01003e9434cd50e7ef74247cc5bfd992f4dae0566ff2a5e7d8fd38836db
MP-FS+,300,0.37,0.38333333333333336,0.38333333333333336,0.9652173913043478,0.0,0.0,0.01,7004.26,681.4066666666666,18.443452003276423,0,0.0,0,3,conservatively_adjudicated,4350a771252535d21533cb4cafb4b66ad3874c36f56ae5f20ee3e8ff17f7054d,5f90db6da3bc34a18952c3dad042f1a73bab56d4247ae78a5841dfb6ab378d50,f2d96433e9f923201f6f30374cf9dee7a90b9a4ed6b2fbf35d0a3b03ed8e6946,6d056dc09b120208b9718cfd12d270b4af21ac5765f47eb9b40e6752fc3f3a41
