method_id,plan_metric_coverage,conditional_row_count_exact_accuracy,end_to_end_row_count_exact_accuracy,conditional_row_exact_match_accuracy,end_to_end_row_exact_match_accuracy,conditional_cell_value_f1,end_to_end_cell_value_f1,conditional_conflict_target_exact_accuracy,end_to_end_conflict_target_exact_accuracy,conditional_mapping_table_accuracy,end_to_end_mapping_table_accuracy,conditional_target_column_f1,end_to_end_target_column_f1
D-FS-M,,,,,,,,,,,,,
J-FS-M,0.8866666666666667,0.9511278195488722,0.8433333333333334,0.6278195488721805,0.5566666666666666,0.8479503405787273,0.7518493019798049,0.3533834586466165,0.31333333333333335,1.0,0.8866666666666667,0.991381633064807,0.8790250479841288
S-FS-v2-M,1.0,0.94,0.94,0.5566666666666666,0.5566666666666666,0.8174982539516009,0.8174982539516009,0.37666666666666665,0.37666666666666665,0.9933333333333333,0.9933333333333333,0.9725591306997067,0.9725591306997067
MP-FS-M,0.36333333333333334,0.8440366972477065,0.30666666666666664,0.3944954128440367,0.14333333333333334,0.7185397815102379,0.2610694539487198,0.5412844036697247,0.19666666666666666,0.963302752293578,0.35,0.8831245662726642,0.32086859241240134
MP-FS+,0.7233333333333334,0.8894009216589862,0.6433333333333333,0.35023041474654376,0.25333333333333335,0.6563746159164972,0.4747776388462663,0.783410138248848,0.5666666666666667,0.9170506912442397,0.6633333333333333,0.9124984843013754,0.6600405703113281
Gold-MP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
