method_id,samples,parse_success,plan_validation_success,build_success,execution_success,target_state_accuracy,strict_full_state_accuracy,database_macro_accuracy,state_changing_accuracy,conflict_sensitive_accuracy,side_effect_rate,coverage,accepted_output_accuracy,input_truncation_rate,output_limit_hit_rate
D-FS-M,300,0.9966666666666667,0.0,0.9966666666666667,0.89,0.86,0.86,0.86,0.8444444444444444,0.85,0.0,0.9966666666666667,0.862876254180602,0.0,0.0
J-FS-M,300,1.0,0.8866666666666667,0.8866666666666667,0.88,0.86,0.86,0.86,0.8444444444444444,0.83,0.0,0.8866666666666667,0.9699248120300752,0.0,0.0
S-FS-v2-M,300,1.0,0.0,0.8866666666666667,0.3566666666666667,0.26,0.26,0.26,0.28888888888888886,0.03,0.0,0.8866666666666667,0.2932330827067669,0.0,0.0
MP-FS-M,300,0.89,0.20333333333333334,0.20333333333333334,0.13,0.11333333333333333,0.11333333333333333,0.11333333333333333,0.1111111111111111,0.045,0.0,0.20333333333333334,0.5573770491803278,0.0,0.0
MP-FS+,300,0.98,0.57,0.57,0.5466666666666666,0.49333333333333335,0.49333333333333335,0.49333333333333335,0.4703703703703704,0.475,0.0,0.5466666666666666,0.9024390243902439,0.0,0.006666666666666667
Gold-MP,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
