method_id,dimension,value,samples,parse_coverage,validation_coverage,build_coverage,execution_coverage,target_state_accuracy,admission_boundary,method_specific_admission_coverage,method_specific_admitted_output_accuracy
S-FS-v2-M,operation,plain_insert,100,1.0,,0.94,0.94,0.72,successful_build,0.94,0.7659574468085106
S-FS-v2-M,operation,upsert_update,100,1.0,,0.77,0.0,0.0,successful_build,0.77,0.0
MP-FS-M,input_format,csv_or_mixed,60,0.95,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,successful_build,0.08333333333333333,1.0
MP-FS-M,input_format,free_text,60,0.6333333333333333,0.36666666666666664,0.36666666666666664,0.2833333333333333,0.25,successful_build,0.36666666666666664,0.6818181818181818
MP-FS-M,input_format,json,60,0.95,0.45,0.45,0.16666666666666666,0.16666666666666666,successful_build,0.45,0.37037037037037035
MP-FS-M,input_format,key_value,60,0.9666666666666667,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.03333333333333333,successful_build,0.08333333333333333,0.4
MP-FS-M,input_format,markdown,60,0.95,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,successful_build,0.03333333333333333,1.0
MP-FS-M,complexity,multi_table,80,0.7875,0.2625,0.2625,0.15,0.1375,successful_build,0.2625,0.5238095238095238
MP-FS-M,complexity,single_table,220,0.9272727272727272,0.18181818181818182,0.18181818181818182,0.12272727272727273,0.10454545454545454,successful_build,0.18181818181818182,0.575
MP-FS-M,database,archeology,60,0.9,0.16666666666666666,0.16666666666666666,0.11666666666666667,0.1,successful_build,0.16666666666666666,0.6
MP-FS-M,database,polar,60,0.95,0.4,0.4,0.26666666666666666,0.25,successful_build,0.4,0.625
MP-FS-M,database,robot,60,0.8,0.08333333333333333,0.08333333333333333,0.05,0.05,successful_build,0.08333333333333333,0.6
MP-FS-M,database,vaccine,60,0.8666666666666667,0.15,0.15,0.08333333333333333,0.06666666666666667,successful_build,0.15,0.4444444444444444
MP-FS-M,database,virtual,60,0.9333333333333333,0.21666666666666667,0.21666666666666667,0.13333333333333333,0.1,successful_build,0.21666666666666667,0.46153846153846156
MP-FS-M,operation,insert_ignore,100,0.87,0.15,0.15,0.05,0.05,successful_build,0.15,0.3333333333333333
MP-FS-M,operation,plain_insert,100,1.0,0.3,0.3,0.3,0.25,successful_build,0.3,0.8333333333333334
MP-FS-M,operation,upsert_update,100,0.8,0.16,0.16,0.04,0.04,successful_build,0.16,0.25
MP-FS+,input_format,csv_or_mixed,60,1.0,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.8333333333333334,transactional_preflight,0.9333333333333333,0.8928571428571429
MP-FS+,input_format,free_text,60,0.9,0.25,0.25,0.21666666666666667,0.13333333333333333,transactional_preflight,0.21666666666666667,0.6153846153846154
MP-FS+,input_format,json,60,1.0,0.48333333333333334,0.48333333333333334,0.45,0.45,transactional_preflight,0.45,1.0
MP-FS+,input_format,key_value,60,1.0,0.15,0.15,0.15,0.06666666666666667,transactional_preflight,0.15,0.4444444444444444
MP-FS+,input_format,markdown,60,1.0,1.0,1.0,0.9833333333333333,0.9833333333333333,transactional_preflight,0.9833333333333333,1.0
MP-FS+,complexity,multi_table,80,0.9375,0.2125,0.2125,0.175,0.15,transactional_preflight,0.175,0.8571428571428571
MP-FS+,complexity,single_table,220,0.9954545454545455,0.7,0.7,0.6818181818181818,0.6181818181818182,transactional_preflight,0.6818181818181818,0.9066666666666666
MP-FS+,database,archeology,60,1.0,0.55,0.55,0.5333333333333333,0.5,transactional_preflight,0.5333333333333333,0.9375
MP-FS+,database,polar,60,0.9833333333333333,0.7,0.7,0.6666666666666666,0.6166666666666667,transactional_preflight,0.6666666666666666,0.925
MP-FS+,database,robot,60,0.9833333333333333,0.5,0.5,0.48333333333333334,0.45,transactional_preflight,0.48333333333333334,0.9310344827586207
MP-FS+,database,vaccine,60,0.9833333333333333,0.5,0.5,0.4666666666666667,0.4166666666666667,transactional_preflight,0.4666666666666667,0.8928571428571429
MP-FS+,database,virtual,60,0.95,0.6,0.6,0.5833333333333334,0.48333333333333334,transactional_preflight,0.5833333333333334,0.8285714285714286
MP-FS+,operation,insert_ignore,100,0.98,0.55,0.55,0.51,0.46,transactional_preflight,0.51,0.9019607843137255
MP-FS+,operation,plain_insert,100,0.98,0.61,0.61,0.6,0.53,transactional_preflight,0.6,0.8833333333333333
MP-FS+,operation,upsert_update,100,0.98,0.55,0.55,0.53,0.49,transactional_preflight,0.53,0.9245283018867925
Gold-MP,input_format,csv_or_mixed,60,1.0,1.0,1.0,1.0,1.0,oracle_build,1.0,1.0
Gold-MP,input_format,free_text,60,1.0,1.0,1.0,1.0,1.0,oracle_build,1.0,1.0
Gold-MP,input_format,json,60,1.0,1.0,1.0,1.0,1.0,oracle_build,1.0,1.0
Gold-MP,input_format,key_value,60,1.0,1.0,1.0,1.0,1.0,oracle_build,1.0,1.0
Gold-MP,input_format,markdown,60,1.0,1.0,1.0,1.0,1.0,oracle_build,1.0,1.0
Gold-MP,complexity,multi_table,80,1.0,1.0,1.0,1.0,1.0,oracle_build,1.0,1.0
Gold-MP,complexity,single_table,220,1.0,1.0,1.0,1.0,1.0,oracle_build,1.0,1.0
Gold-MP,database,archeology,60,1.0,1.0,1.0,1.0,1.0,oracle_build,1.0,1.0
Gold-MP,database,polar,60,1.0,1.0,1.0,1.0,1.0,oracle_build,1.0,1.0
Gold-MP,database,robot,60,1.0,1.0,1.0,1.0,1.0,oracle_build,1.0,1.0
Gold-MP,database,vaccine,60,1.0,1.0,1.0,1.0,1.0,oracle_build,1.0,1.0
Gold-MP,database,virtual,60,1.0,1.0,1.0,1.0,1.0,oracle_build,1.0,1.0
Gold-MP,operation,insert_ignore,100,1.0,1.0,1.0,1.0,1.0,oracle_build,1.0,1.0
Gold-MP,operation,plain_insert,100,1.0,1.0,1.0,1.0,1.0,oracle_build,1.0,1.0
Gold-MP,operation,upsert_update,100,1.0,1.0,1.0,1.0,1.0,oracle_build,1.0,1.0
