method_id,admission_boundary,generation_coverage,parse_coverage,validation_coverage,build_coverage,execution_coverage,execution_conditional_accuracy,target_state_accuracy,method_specific_admission_coverage,method_specific_admitted_output_accuracy,preflight_accept_rate
D-FS-M,successful_build,1.0,0.9966666666666667,,0.9966666666666667,0.89,0.9662921348314607,0.86,0.9966666666666667,0.862876254180602,
J-FS-M,successful_build,1.0,1.0,0.8866666666666667,0.8866666666666667,0.88,0.9772727272727273,0.86,0.8866666666666667,0.9699248120300752,
S-FS-v2-M,successful_build,1.0,1.0,,0.8866666666666667,0.3566666666666667,0.7289719626168224,0.26,0.8866666666666667,0.2932330827067669,
MP-FS-M,successful_build,1.0,0.89,0.20333333333333334,0.20333333333333334,0.13,0.8717948717948718,0.11333333333333333,0.20333333333333334,0.5573770491803278,
MP-FS+,transactional_preflight,1.0,0.98,0.57,0.57,0.5466666666666666,0.9024390243902439,0.49333333333333335,0.5466666666666666,0.9024390243902439,0.5466666666666666
Gold-MP,oracle_build,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
