method_id,admission_boundary,target_state_accuracy,method_specific_admission_coverage,method_specific_admitted_output_accuracy,selective_risk,side_effect_rate,any_off_target_change_rate,target_correct_with_side_effect_rate
D-FS-M,successful_build,0.86,0.9966666666666667,0.862876254180602,0.137123745819398,0.0033333333333333335,0.0033333333333333335,0.0
J-FS-M,successful_build,0.86,0.8866666666666667,0.9699248120300752,0.03007518796992481,0.0,0.0,0.0
S-FS-v2-M,successful_build,0.26,0.8866666666666667,0.2932330827067669,0.7067669172932332,0.0,0.0,0.0
MP-FS-M,successful_build,0.11333333333333333,0.20333333333333334,0.5573770491803278,0.4426229508196722,0.0033333333333333335,0.0033333333333333335,0.0
MP-FS+,transactional_preflight,0.49333333333333335,0.5466666666666666,0.9024390243902439,0.09756097560975607,0.0,0.0,0.0
Gold-MP,oracle_build,1.0,1.0,1.0,0.0,0.0,0.0,0.0
