method_id,target_state_accuracy,original_request_accuracy,state_changing_accuracy,conflict_sensitive_accuracy,database_macro_accuracy,accepted_output_accuracy,coverage,side_effect_rate,abstention_rate,selective_risk,mean_latency_sec
D-FS-M,0.86,,0.8444444444444444,0.85,0.86,0.862876254180602,0.9966666666666667,0.0,0.0033333333333332993,0.137123745819398,4.952294436893183
J-FS-M,0.86,,0.8444444444444444,0.83,0.86,0.9699248120300752,0.8866666666666667,0.0,0.11333333333333329,0.03007518796992481,6.018846711753479
S-FS-v2-M,0.26,,0.28888888888888886,0.03,0.26,0.2932330827067669,0.8866666666666667,0.0,0.11333333333333329,0.7067669172932332,6.044044495409519
MP-FS-M,0.11333333333333333,,0.1111111111111111,0.045,0.11333333333333333,0.5573770491803278,0.20333333333333334,0.0,0.7966666666666666,0.4426229508196722,6.623313808703242
MP-FS+,0.49333333333333335,,0.4703703703703704,0.475,0.49333333333333335,0.9024390243902439,0.5466666666666666,0.0,0.45333333333333337,0.09756097560975607,5.581185331226443
Gold-MP,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
